gender,age,money,baby,lifemoney,study
2,57,1680,2,60,4
1,47,0,2,100,5
2,36,2880,2,30,5
1,28,-1,2,100,7
2,24,1200,2,40,6
1,72,1020,2,70,4
2,74,0,2,16,2
1,26,1440,2,100,6
2,80,480,2,200,2
2,44,720,2,40,2
1,41,1200,2,60,3
2,22,1200,2,63,7
1,56,0,2,80,6
1,63,3000,2,100,2
1,45,360,2,30,4
2,50,0,2,20,3
1,39,0,1,30,5
1,53,3480,2,40,3
1,54,0,2,20,3
1,36,1200,1,80,4
1,25,1200,1,50,5
2,25,1200,2,50,4
1,43,-1,2,100,5
1,79,0,2,100,4
1,37,3600,1,100,5
1,59,0,2,50,7
1,64,0,2,30,3
1,69,0,2,40,3
1,70,600,2,15,3
1,30,1200,2,10,7
1,59,0,2,100,4
1,59,1800,2,150,5
1,42,2400,1,120,5
1,37,4800,1,300,4
1,22,1200,2,30,4
1,42,4200,1,150,7
1,60,1440,1,70,5
1,59,3600,2,50,4
1,34,3000,2,150,5
1,47,3600,2,200,5
1,37,1620,2,100,3
2,58,3600,2,100,4
1,41,2400,2,200,3
1,44,2160,1,70,4
2,85,0,2,20,2
1,40,3600,1,450,7
1,34,3000,1,120,7
1,69,2400,2,150,3
1,55,3600,2,180,5
2,57,3600,1,100,7
2,42,1080,2,50,7
1,30,1800,1,50,5
1,35,2400,1,100,5
1,35,2400,1,100,5
1,72,660,2,100,3
1,41,4800,2,200,5
2,29,1920,2,70,7
2,65,1560,2,50,3
1,68,2760,1,200,5
1,49,1920,2,120,5
1,61,1680,2,50,4
1,31,1200,2,57,7
2,31,600,1,50,5
1,67,0,2,30,4
1,59,1080,2,200,5
1,80,0,2,60,2
1,63,0,2,50,4
1,56,1440,2,65,5
2,41,0,2,10,5
2,41,960,2,20,5
2,56,960,2,80,3
1,54,3000,2,200,5
1,48,1200,2,80,3
1,42,2040,2,170,5
1,27,0,2,20,5
2,27,2400,2,70,5
1,44,1800,2,150,5
1,28,1800,2,100,7
1,49,3600,2,200,7
1,53,3600,2,300,5
2,39,2280,2,100,8
1,26,0,2,30,7
1,50,7800,2,300,7
1,35,2436,1,60,7
1,59,720,2,20,4
2,44,3600,1,200,4
1,38,0,2,30,5
1,38,1200,1,80,4
1,64,1800,2,80,4
1,76,1200,1,40,4
1,51,1200,2,150,5
2,41,1200,1,100,5
1,47,1200,2,80,5
1,56,2400,2,100,4
1,37,108,2,150,4
2,34,1200,1,50,5
1,29,1560,2,120,5
1,40,2340,2,70,4
1,51,1920,2,30,5
1,40,3000,1,150,8
1,44,3600,2,287,8
2,25,1440,2,30,8
1,52,1200,2,100,4
1,59,960,2,80,4
1,44,0,2,50,5
1,42,1560,1,100,5
1,73,600,1,50,3
1,79,0,2,30,4
1,66,1440,2,120,3
1,26,1200,2,70,6
1,42,600,1,50,4
1,56,2400,2,130,5
1,64,1800,1,100,3
1,42,1920,1,100,7
1,43,3000,1,180,5
1,69,3600,2,150,9
1,40,1800,1,120,5
1,68,1200,2,70,3
1,46,360,2,30,3
1,48,0,2,100,4
2,23,1116,2,50,5
1,43,720,2,60,5
1,40,1800,2,130,3
1,31,1800,1,100,5
2,26,840,2,50,6
1,46,360,2,70,4
1,74,0,2,80,3
1,66,2400,2,100,3
1,31,1800,1,70,5
1,56,0,2,30,2
1,43,1560,2,100,4
1,44,0,2,30,7
1,52,960,2,70,3
2,42,840,2,70,5
2,41,720,2,50,5
1,29,2160,2,35,7
1,51,1800,2,150,5
1,66,720,2,60,4
1,39,2400,1,100,5
1,25,1020,2,45,4
2,49,840,2,50,2
2,50,1440,2,70,5
1,28,1560,1,70,5
2,55,2760,1,110,3
1,44,2040,2,130,5
1,46,2400,2,100,4
1,35,1200,1,55,4
1,60,0,1,150,7
1,41,0,1,70,5
1,52,2400,2,190,5
1,29,3000,2,130,8
2,25,2400,2,150,5
1,30,1200,1,100,7
1,57,360,2,30,3
1,30,600,1,50,5
1,32,0,2,50,5
1,51,3000,2,200,5
1,56,1800,2,80,5
1,46,0,2,20,3
1,46,1800,1,70,7
1,54,2880,2,200,3
1,41,1560,2,80,5
1,45,3600,2,200,5
1,49,2160,2,130,7
1,46,0,2,250,5
1,44,2400,2,150,5
2,74,1920,2,100,3
1,42,-1,2,100,5
1,49,360,2,50,3
1,37,2160,1,100,4
2,28,1200,2,30,5
1,49,1560,2,120,4
1,38,2400,1,170,5
1,37,1080,1,50,5
1,42,2400,2,300,5
1,32,480,2,60,5
1,34,4200,1,100,4
2,31,0,2,50,7
2,39,1560,1,100,3
1,67,1440,2,55,4
1,44,1560,2,40,3
1,43,1800,2,100,4
1,63,0,2,200,7
1,48,1200,2,57,4
2,49,960,2,30,3
1,50,1800,2,150,4
1,40,1200,1,80,5
1,32,840,1,70,5
1,44,3600,1,170,7
2,34,1200,2,50,7
1,46,840,2,100,5
2,66,360,2,40,2
1,53,840,2,30,7
1,32,1200,1,60,5
1,35,1200,1,100,5
1,58,1560,2,100,3
1,33,1020,1,60,5
1,51,1440,2,55,7
1,30,1200,2,61,6
1,53,720,2,60,3
1,42,1800,2,100,3
1,47,1200,2,75,5
1,32,3600,2,50,7
1,56,4800,2,350,8
1,48,1320,2,110,5
1,49,2400,2,170,5
1,35,1680,1,108,7
1,50,4800,2,300,3
1,82,0,2,15,4
1,35,3120,1,50,5
2,38,0,2,35,5
1,47,2400,2,70,4
1,42,1200,2,100,5
1,32,480,1,30,4
1,56,1200,2,50,3
1,44,1800,2,100,5
1,69,0,2,60,5
1,43,1800,2,55,5
1,30,2076,1,70,4
1,45,1200,2,60,5
1,44,1680,2,150,3
2,55,1440,2,65,3
2,51,0,2,60,3
1,69,1200,2,60,5
1,55,720,2,30,4
1,72,1980,2,50,7
1,63,720,2,60,3
2,48,660,2,30,4
1,32,2160,2,60,7
1,37,3000,1,75,5
1,66,960,2,80,4
1,45,3600,2,130,8
1,45,2400,2,100,5
1,59,1200,2,100,5
2,58,480,2,30,5
1,38,1800,2,100,5
1,53,1440,1,100,3
1,33,1440,1,75,5
1,34,1200,2,45,5
1,30,1080,2,50,5
1,36,600,2,45,5
2,82,0,2,15,2
1,44,360,2,60,7
1,41,-1,1,50,5
1,43,780,2,70,4
2,79,120,2,15,2
1,50,4800,2,300,7
1,33,2760,1,150,7
1,54,1800,2,110,7
1,53,960,2,100,5
1,39,-1,1,100,5
1,31,2400,1,100,7
2,29,1200,2,40,5
1,35,3000,1,50,5
1,41,1200,2,60,5
2,39,3600,2,270,4
2,47,600,2,30,4
1,79,1080,2,70,3
1,40,0,2,25,5
1,58,1200,2,65,3
1,47,2400,2,100,4
2,67,720,2,20,3
1,55,1200,2,100,4
1,30,1140,2,45,6
1,41,1800,1,120,4
1,37,1800,1,120,7
1,45,1200,2,50,5
1,41,1560,1,50,4
2,37,1404,2,90,4
2,28,0,2,30,5
1,60,3000,2,100,5
1,36,1380,1,60,4
1,32,720,1,80,5
2,65,0,2,20,3
1,42,1200,2,100,5
1,48,0,2,100,4
1,52,1200,2,100,3
1,34,1560,1,80,4
2,32,0,2,25,5
1,50,0,2,30,4
2,36,0,1,10,5
1,57,960,2,50,5
2,50,1920,2,200,5
1,40,3204,1,70,6
1,33,1800,1,140,7
1,49,960,2,60,4
1,33,3600,1,150,7
1,25,3600,2,100,6
1,26,0,2,20,6
1,68,0,2,30,5
1,39,1440,1,65,7
1,38,1560,2,80,8
2,68,0,2,20,5
1,59,2640,2,100,6
1,34,2400,2,60,7
1,42,0,2,220,7
2,44,1800,2,130,4
1,61,2400,2,100,3
1,69,1200,2,70,4
1,56,1800,2,150,5
