연간소득,직급1,자격증,성별1,혼인상태1,최종학력1
10000,차장급,아니오,남,기혼,4년제졸
6000,대리급,아니오,남,미혼,4년제졸
7200,과장급,아니오,남,기혼,4년제졸
3300,주임/계장,아니오,여,기혼,4년제졸
4100,과장급,아니오,남,기혼,4년제졸
10000,차장급,예,남,기혼,기타 실업고졸
11000,차장급,아니오,남,기혼,4년제졸
6000,대리급,예,여,미혼,4년제졸
NA,차장급,아니오,여,기혼,전문대졸
5900,대리급,아니오,남,기혼,4년제졸
6500,대리급,아니오,여,기혼,4년제졸
11000,차장급,아니오,남,기혼,박사졸
9000,차장급,아니오,남,기혼,4년제졸
9000,차장급,아니오,남,기혼,4년제졸
NA,과장급,아니오,여,기혼,4년제졸
8000,과장급,아니오,여,기혼,4년제졸
4000,주임/계장,아니오,여,미혼,4년제졸
6000,대리급,아니오,남,기혼,석사졸
8500,차장급,아니오,남,기혼,석사졸
NA,주임/계장,아니오,남,미혼,4년제졸
6000,대리급,아니오,남,미혼,4년제졸
5700,대리급,아니오,남,기혼,4년제졸
NA,대리급,아니오,남,기혼,4년제졸
NA,대리급,아니오,남,기혼,4년제졸
7000,과장급,예,남,기혼,석사졸
5500,대리급,예,남,미혼,4년제졸
NA,차장급,아니오,남,기혼,4년제졸
5500,과장급,예,남,기혼,4년제졸
3600,과장급,아니오,남,기혼,4년제졸
NA,과장급,예,남,기혼,4년제졸
3600,사원급,아니오,남,미혼,4년제졸
5500,과장급,아니오,남,기혼,4년제졸
3900,사원급,예,남,기혼,4년제졸
4506,대리급,아니오,남,기혼,4년제졸
4500,대리급,아니오,남,기혼,4년제졸
4525,과장급,아니오,남,기혼,4년제졸
6100,과장급,아니오,남,기혼,4년제졸
5400,과장급,아니오,남,기혼,4년제졸
3792,주임/계장,아니오,남,미혼,4년제졸
3800,사원급,아니오,남,미혼,4년제졸
5500,과장급,아니오,남,기혼,4년제졸
5800,과장급,아니오,남,기혼,석사졸
3600,사원급,예,남,미혼,4년제졸
NA,대리급,아니오,남,기혼,4년제졸
NA,대리급,예,남,미혼,4년제졸
5800,과장급,예,남,기혼,4년제졸
NA,대리급,예,남,미혼,4년제졸
3560,사원급,예,남,미혼,4년제졸
4400,대리급,예,남,기혼,4년제졸
5600,대리급,예,남,기혼,4년제졸
4500,과장급,아니오,남,기혼,4년제졸
5400,임원급,아니오,남,기혼,박사졸
5000,부장급,예,남,기혼,석사졸
5000,차장급,아니오,남,기혼,박사졸
4800,차장급,예,남,기혼,석사졸
5300,부장급,아니오,남,기혼,석사졸
4800,차장급,아니오,남,기혼,4년제졸
4800,임원급,아니오,남,기혼,4년제졸
NA,사원급,아니오,여,미혼,전문대졸
NA,사원급,아니오,여,미혼,전문대졸
3700,대리급,아니오,남,미혼,4년제졸
2400,주임/계장,아니오,여,미혼,기타 실업고졸
NA,대리급,아니오,남,미혼,전문대졸
3500,대리급,아니오,남,미혼,석사졸
4500,과장급,아니오,남,기혼,4년제졸
4800,임원급,아니오,남,기혼,기타 실업고졸
NA,차장급,아니오,남,기혼,4년제졸
4200,과장급,아니오,남,기혼,전문대졸
2000,사원급,아니오,여,미혼,4년제졸
3000,주임/계장,아니오,여,기혼,4년제졸
5800,임원급,아니오,남,기혼,석사졸
4900,차장급,아니오,남,기혼,4년제졸
NA,사원급,아니오,여,미혼,기타 실업고졸
4500,차장급,예,남,기혼,4년제졸
5260,임원급,예,남,기혼,4년제졸
3400,과장급,예,남,기혼,4년제졸
5200,부장급,예,여,미혼,4년제졸
4100,대리급,예,남,기혼,4년제졸
NA,사원급,예,남,미혼,4년제졸
NA,부장급,아니오,남,기혼,4년제졸
NA,과장급,아니오,남,기혼,4년제졸
5500,임원급,아니오,남,기혼,4년제졸
NA,사원급,예,남,미혼,4년제졸
