사용월,호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자
201601,경의선,서울역,5,0,670,8,1090,4646,1813,9807,2401,24846,1881,7485,1787,6745,2059,5323,2039,3979,3691,3024,2829,3811,4793,2257,5951,2191,8794,2483,17317,5528,9168,3006,9415,2046,2480,1184,4325,261,2608,1375,1,163,0,0,0,0,0,0,20160208
201601,경의선,신촌,0,0,150,26,164,1038,377,2194,512,7316,458,2455,429,1927,908,1675,783,1422,1059,1692,993,1362,1211,966,1552,882,3012,993,3594,2046,1811,1541,1408,550,1713,413,1770,309,709,301,2,96,0,0,0,0,0,0,20160208
201601,경의선,공덕,0,0,304,113,1303,1265,3390,2792,3981,8634,2748,3436,2199,2174,2422,2406,2369,2097,2629,2493,2392,2435,2364,2844,2708,3174,3581,3656,5770,4719,3946,3954,2743,2396,2721,2524,1917,2366,1120,1466,99,450,0,0,0,0,0,0,20160208
201601,경의선,서강대,0,0,243,19,1188,1363,2207,2636,2933,7724,2049,6116,2134,3012,2339,3111,2743,3519,3137,3583,4731,3531,3787,3102,4025,3221,5448,3234,5791,4284,4042,3312,3540,2077,3922,1832,4223,1594,1836,1194,93,262,0,0,0,0,0,0,20160208
201601,경의선,홍대입구,4,1,403,57,627,437,1170,1632,1273,5024,822,3407,842,2667,879,3234,1099,4809,1388,4771,1484,4382,1697,4427,2276,4992,3008,4886,4066,6235,3216,4675,3151,2927,4062,2431,5622,1987,2546,1475,133,368,0,0,0,0,0,0,20160208
201601,경의선,가좌,0,0,1656,159,5483,2485,12508,2980,15370,5964,8045,5426,6463,4277,6103,4574,6673,5478,6555,6255,5890,6457,5927,7329,7027,7442,7188,8152,6916,10653,4110,10549,2983,6672,2519,5750,1977,4337,841,3931,33,720,1,1,0,0,0,0,20160208
201601,경의선,디지털미디어시티,6,2,846,186,1919,840,6227,2013,6155,3917,3695,2752,3126,2288,3238,2216,3462,2344,3517,2820,3205,2554,3191,2836,3481,3152,4370,3847,4933,6082,3244,5715,2182,3532,2051,3479,1659,3514,879,2350,75,495,0,1,0,0,0,0,20160208
201601,경의선,수색,0,0,735,175,1621,1637,3324,4152,3911,14951,3021,6291,2292,3336,2507,2594,2612,3015,2880,3403,2794,2948,2920,3076,3197,3518,4688,3543,11324,3687,5093,3223,3379,2074,3009,1520,2053,1765,763,1177,29,207,0,0,0,0,0,0,20160208
201601,경의선,화전,0,0,403,173,1001,1095,2519,1118,3512,3973,2851,3605,2094,2620,2207,2303,2882,2796,2770,3128,2792,2413,3090,2116,3246,2655,4086,2817,4756,3101,2374,2166,1751,1856,1655,1346,1192,2037,772,1530,54,494,0,0,0,0,0,0,20160208
201601,경의선,강매,0,0,1172,207,4633,692,13212,1022,12515,2029,5549,1250,4370,1083,3876,1155,3605,1586,3375,1895,2579,2275,2412,2729,2291,4139,2342,4307,2603,6319,1379,7893,789,6504,617,4335,476,5508,237,3150,14,1075,0,0,0,0,0,0,20160208
