year,month,day,요일,측정소명,이산화질소농도(ppm),오존농도(ppm),일산화탄소농도(ppm),아황산가스농도(ppm),미세먼지농도(㎍/㎥),초미세먼지농도(㎍/㎥)
2023,1,1,일요일,강남구,0.024,0.024,0.6,0.004,52,36
2023,1,1,일요일,강동구,0.027,0.017,0.7,0.003,56,43
2023,1,1,일요일,강북구,,0.026,0.7,0.004,51,34
2023,1,1,일요일,강서구,0.021,0.025,0.6,0.004,62,38
2023,1,1,일요일,관악구,0.025,0.02,0.6,0.003,54,35
2023,1,1,일요일,광진구,0.0175,0.0176,0.79,0.0026,48,36
2023,1,1,일요일,구로구,0.019,0.021,0.4,0.003,53,35
2023,1,1,일요일,금천구,0.023,0.024,0.6,0.004,47,38
2023,1,1,일요일,노원구,0.031,0.022,0.7,0.004,51,39
2023,1,1,일요일,도봉구,0.02,0.029,0.7,0.003,43,32
2023,1,1,일요일,동대문구,0.023,0.024,0.7,0.004,52,37
2023,1,1,일요일,동작구,0.022,0.025,0.6,0.004,56,41
2023,1,1,일요일,마포구,0.023,0.02,0.6,0.003,49,40
2023,1,1,일요일,서대문구,0.024,0.022,0.7,0.005,53,37
2023,1,1,일요일,서초구,0.018,0.024,0.5,0.003,52,37
2023,1,1,일요일,성동구,0.027,0.022,0.6,0.003,53,33
2023,1,1,일요일,성북구,0.03,0.021,0.8,0.004,45,34
2023,1,1,일요일,송파구,0.03,0.018,0.7,0.003,51,35
2023,1,1,일요일,양천구,0.023,0.02,0.6,0.003,53,39
2023,1,1,일요일,영등포구,0.023,0.023,0.6,0.004,51,34
2023,1,1,일요일,용산구,0.019,0.024,0.6,0.004,50,37
2023,1,1,일요일,은평구,0.021,0.023,0.8,0.004,55,37
2023,1,1,일요일,종로구,0.0215,0.0251,0.67,0.0038,53,42
2023,1,1,일요일,중구,0.023,0.026,0.6,0.004,54,46
2023,1,1,일요일,중랑구,0.03,0.021,0.7,0.003,52,39
2023,1,1,일요일,강남대로,0.025,0.02,0.6,0.004,54,38
2023,1,1,일요일,강변북로,0.031,0.017,0.9,0.003,51,37
2023,1,1,일요일,공항대로,0.018,0.024,0.6,0.003,53,36
2023,1,1,일요일,도산대로,0.024,0.019,1,0.004,54,38
2023,1,1,일요일,동작대로,0.026,0.023,0.7,0.004,58,37
2023,1,1,일요일,시흥대로,0.027,0.02,0.6,0.004,47,29
